province,age_group,sex,population,age_category
Barcelona,0 years,males,26526.0,underage
Barcelona,0 years,females,24651.0,underage
Barcelona,0 years,total,51177.0,underage
Barcelona,1 year,males,26982.0,underage
Barcelona,1 year,females,25721.0,underage
Barcelona,1 year,total,52703.0,underage
Barcelona,2 years,males,28874.0,underage
Barcelona,2 years,females,27230.0,underage
Barcelona,2 years,total,56104.0,underage
Barcelona,3 years,males,30072.0,underage
Barcelona,3 years,females,28520.0,underage
Barcelona,3 years,total,58592.0,underage
Barcelona,4 years,males,31031.0,underage
Barcelona,4 years,females,28866.0,underage
Barcelona,4 years,total,59897.0,underage
Barcelona,5 years,males,31309.0,underage
Barcelona,5 years,females,29183.0,underage
Barcelona,5 years,total,60492.0,underage
Barcelona,6 years,males,32668.0,underage
Barcelona,6 years,females,30731.0,underage
Barcelona,6 years,total,63399.0,underage
Barcelona,7 years,males,31366.0,underage
Barcelona,7 years,females,29577.0,underage
Barcelona,7 years,total,60943.0,underage
Barcelona,8 years,males,31115.0,underage
Barcelona,8 years,females,29447.0,underage
Barcelona,8 years,total,60562.0,underage
Barcelona,9 years,males,30776.0,underage
Barcelona,9 years,females,28939.0,underage
Barcelona,9 years,total,59715.0,underage
Barcelona,10 years,males,30112.0,underage
Barcelona,10 years,females,28704.0,underage
Barcelona,10 years,total,58816.0,underage
Barcelona,11 years,males,29418.0,underage
Barcelona,11 years,females,27605.0,underage
Barcelona,11 years,total,57023.0,underage
Barcelona,12 years,males,28128.0,underage
Barcelona,12 years,females,26693.0,underage
Barcelona,12 years,total,54821.0,underage
Barcelona,13 years,males,27434.0,underage
Barcelona,13 years,females,26071.0,underage
Barcelona,13 years,total,53505.0,underage
Barcelona,14 years,males,27609.0,underage
Barcelona,14 years,females,26148.0,underage
Barcelona,14 years,total,53757.0,underage
Barcelona,15 years,males,26720.0,underage
Barcelona,15 years,females,25342.0,underage
Barcelona,15 years,total,52062.0,underage
Barcelona,16 years,males,25864.0,underage
Barcelona,16 years,females,23704.0,underage
Barcelona,16 years,total,49568.0,underage
Barcelona,17 years,males,26052.0,underage
Barcelona,17 years,females,24106.0,underage
Barcelona,17 years,total,50158.0,underage
Barcelona,18 years,males,25822.0,young
Barcelona,18 years,females,23444.0,young
Barcelona,18 years,total,49266.0,young
Barcelona,19 years,males,25420.0,young
Barcelona,19 years,females,23941.0,young
Barcelona,19 years,total,49361.0,young
Barcelona,20 years,males,25788.0,young
Barcelona,20 years,females,24218.0,young
Barcelona,20 years,total,50006.0,young
Barcelona,21 years,males,26438.0,young
Barcelona,21 years,females,25192.0,young
Barcelona,21 years,total,51630.0,young
Barcelona,22 years,males,27223.0,young
Barcelona,22 years,females,26103.0,young
Barcelona,22 years,total,53326.0,young
Barcelona,23 years,males,27201.0,young
Barcelona,23 years,females,26534.0,young
Barcelona,23 years,total,53735.0,young
Barcelona,24 years,males,27925.0,young
