row;col;r;c;value;status;ref
Barcelona;Població;1;1;1604555;;2015
Barcelona;"Superfície km²";1;2;101,4;;2015
Barcelona;"Densitat hab./km²";1;3;15831,8;;2015
Barcelona;"Rang per nombre d'hab.";1;4;1;;2015
"Hospitalet de Llobregat, l'";Població;2;1;252171;;2015
"Hospitalet de Llobregat, l'";"Superfície km²";2;2;12,4;;2015
"Hospitalet de Llobregat, l'";"Densitat hab./km²";2;3;20336,4;;2015
"Hospitalet de Llobregat, l'";"Rang per nombre d'hab.";2;4;2;;2015
Badalona;Població;3;1;215654;;2015
Badalona;"Superfície km²";3;2;21,2;;2015
Badalona;"Densitat hab./km²";3;3;10182;;2015
Badalona;"Rang per nombre d'hab.";3;4;3;;2015
Terrassa;Població;4;1;215214;;2015
Terrassa;"Superfície km²";4;2;70,2;;2015
Terrassa;"Densitat hab./km²";4;3;3067,5;;2015
Terrassa;"Rang per nombre d'hab.";4;4;4;;2015
Sabadell;Població;5;1;207814;;2015
Sabadell;"Superfície km²";5;2;37,8;;2015
Sabadell;"Densitat hab./km²";5;3;5499,2;;2015
Sabadell;"Rang per nombre d'hab.";5;4;5;;2015
Lleida;Població;6;1;138542;;2015
Lleida;"Superfície km²";6;2;212,3;;2015
Lleida;"Densitat hab./km²";6;3;652,6;;2015
Lleida;"Rang per nombre d'hab.";6;4;6;;2015
Tarragona;Població;7;1;131255;;2015
Tarragona;"Superfície km²";7;2;57,9;;2015
Tarragona;"Densitat hab./km²";7;3;2267,7;;2015
Tarragona;"Rang per nombre d'hab.";7;4;7;;2015
Mataró;Població;8;1;124867;;2015
Mataró;"Superfície km²";8;2;22,5;;2015
Mataró;"Densitat hab./km²";8;3;5542,3;;2015
Mataró;"Rang per nombre d'hab.";8;4;8;;2015
"Santa Coloma de Gramenet";Població;9;1;116950;;2015
"Santa Coloma de Gramenet";"Superfície km²";9;2;7;;2015
"Santa Coloma de Gramenet";"Densitat hab./km²";9;3;16707,1;;2015
"Santa Coloma de Gramenet";"Rang per nombre d'hab.";9;4;9;;2015
Reus;Població;10;1;103194;;2015
Reus;"Superfície km²";10;2;52,8;;2015
Reus;"Densitat hab./km²";10;3;1953,7;;2015
Reus;"Rang per nombre d'hab.";10;4;10;;2015
Girona;Població;11;1;97586;;2015
Girona;"Superfície km²";11;2;39,1;;2015
Girona;"Densitat hab./km²";11;3;2494,5;;2015
Girona;"Rang per nombre d'hab.";11;4;11;;2015
"Sant Cugat del Vallès";Població;12;1;87830;;2015
"Sant Cugat del Vallès";"Superfície km²";12;2;48,2;;2015
"Sant Cugat del Vallès";"Densitat hab./km²";12;3;1821,1;;2015
"Sant Cugat del Vallès";"Rang per nombre d'hab.";12;4;12;;2015
"Cornellà de Llobregat";Població;13;1;86376;;2015
"Cornellà de Llobregat";"Superfície km²";13;2;7;;2015
"Cornellà de Llobregat";"Densitat hab./km²";13;3;12357,1;;2015
"Cornellà de Llobregat";"Rang per nombre d'hab.";13;4;13;;2015
"Sant Boi de Llobregat";Població;14;1;82195;;2015
"Sant Boi de Llobregat";"Superfície km²";14;2;21,5;;2015
"Sant Boi de Llobregat";"Densitat hab./km²";14;3;3828,4;;2015
"Sant Boi de Llobregat";"Rang per nombre d'hab.";14;4;14;;2015
Manresa;Població;15;1;74655;;2015
Manresa;"Superfície km²";15;2;41,7;;2015
Manresa;"Densitat hab./km²";15;3;1792,4;;2015
Manresa;"Rang per nombre d'hab.";15;4;15;;2015
Rubí;Població;16;1;74536;;2015
Rubí;"Superfície km²";16;2;32,3;;2015
Rubí;"Densitat hab./km²";16;3;2307,6;;2015
Rubí;"Rang per nombre d'hab.";16;4;16;;2015
"Vilanova i la Geltrú";Població;17;1;65684;;2015
"Vilanova i la Geltrú";"Superfície km²";17;2;34;;2015
"Vilanova i la Geltrú";"Densitat hab./km²";17;3;1932,5;;2015
"Vilanova i la Geltrú";"Rang per nombre d'hab.";17;4;17;;2015
Viladecans;Població;18;1;65549;;2015
Viladecans;"Superfície km²";18;2;20,4;;2015
Viladecans;"Densitat hab./km²";18;3;3213,2;;2015
Viladecans;"Rang per nombre d'hab.";18;4;18;;2015
Castelldefels;Població;19;1;63891;;2015
Castelldefels;"Superfície km²";19;2;12,9;;2015
Castelldefels;"Densitat hab./km²";19;3;4964,3;;2015
Castelldefels;"Rang per nombre d'hab.";19;4;19;;2015
"Prat de Llobregat, el";Població;20;1;63014;;2015
"Prat de Llobregat, el";"Superfície km²";20;2;31,4;;2015
"Prat de Llobregat, el";"Densitat hab./km²";20;3;2006,2;;2015
"Prat de Llobregat, el";"Rang per nombre d'hab.";20;4;20;;2015
Granollers;Població;21;1;60101;;2015
Granollers;"Superfície km²";21;2;14,9;;2015
Granollers;"Densitat hab./km²";21;3;4041,8;;2015
Granollers;"Rang per nombre d'hab.";21;4;21;;2015
"Cerdanyola del Vallès";Població;22;1;57413;;2015
"Cerdanyola del Vallès";"Superfície km²";22;2;30,6;;2015
"Cerdanyola del Vallès";"Densitat hab./km²";22;3;1878,7;;2015
"Cerdanyola del Vallès";"Rang per nombre d'hab.";22;4;22;;2015
"Mollet del Vallès";Població;23;1;51650;;2015
"Mollet del Vallès";"Superfície km²";23;2;10,8;;2015
"Mollet del Vallès";"Densitat hab./km²";23;3;4795,7;;2015
"Mollet del Vallès";"Rang per nombre d'hab.";23;4;23;;2015
Gavà;Població;24;1;46405;;2015
Gavà;"Superfície km²";24;2;30,8;;2015
Gavà;"Densitat hab./km²";24;3;1509,1;;2015
Gavà;"Rang per nombre d'hab.";24;4;24;;2015
"Esplugues de Llobregat";Població;25;1;45626;;2015
"Esplugues de Llobregat";"Superfície km²";25;2;4,6;;2015
"Esplugues de Llobregat";"Densitat hab./km²";25;3;9918,7;;2015
"Esplugues de Llobregat";"Rang per nombre d'hab.";25;4;25;;2015
Figueres;Població;26;1;45346;;2015
Figueres;"Superfície km²";26;2;19,3;;2015
Figueres;"Densitat hab./km²";26;3;2349,5;;2015
Figueres;"Rang per nombre d'hab.";26;4;26;;2015
"Sant Feliu de Llobregat";Població;27;1;43800;;2015
"Sant Feliu de Llobregat";"Superfície km²";27;2;11,8;;2015
"Sant Feliu de Llobregat";"Densitat hab./km²";27;3;3705,6;;2015
"Sant Feliu de Llobregat";"Rang per nombre d'hab.";27;4;27;;2015
Vic;Població;28;1;42498;;2015
Vic;"Superfície km²";28;2;30,6;;2015
Vic;"Densitat hab./km²";28;3;1389,7;;2015
Vic;"Rang per nombre d'hab.";28;4;28;;2015
"Vilafranca del Penedès";Població;29;1;39224;;2015
"Vilafranca del Penedès";"Superfície km²";29;2;19,6;;2015
"Vilafranca del Penedès";"Densitat hab./km²";29;3;1996,1;;2015
"Vilafranca del Penedès";"Rang per nombre d'hab.";29;4;29;;2015
Blanes;Població;30;1;39132;;2015
Blanes;"Superfície km²";30;2;17,7;;2015
Blanes;"Densitat hab./km²";30;3;2215,9;;2015
Blanes;"Rang per nombre d'hab.";30;4;30;;2015
Igualada;Població;31;1;38751;;2015
Igualada;"Superfície km²";31;2;8,1;;2015
Igualada;"Densitat hab./km²";31;3;4778,2;;2015
Igualada;"Rang per nombre d'hab.";31;4;31;;2015
"Lloret de Mar";Població;32;1;37618;;2015
"Lloret de Mar";"Superfície km²";32;2;48,7;;2015
"Lloret de Mar";"Densitat hab./km²";32;3;772,3;;2015
"Lloret de Mar";"Rang per nombre d'hab.";32;4;32;;2015
Ripollet;Població;33;1;37445;;2015
Ripollet;"Superfície km²";33;2;4,3;;2015
Ripollet;"Densitat hab./km²";33;3;8647,8;;2015
Ripollet;"Rang per nombre d'hab.";33;4;33;;2015
"Vendrell, el";Població;34;1;36558;;2015
"Vendrell, el";"Superfície km²";34;2;36,8;;2015
"Vendrell, el";"Densitat hab./km²";34;3;993,4;;2015
"Vendrell, el";"Rang per nombre d'hab.";34;4;34;;2015
"Sant Adrià de Besòs";Població;35;1;35814;;2015
"Sant Adrià de Besòs";"Superfície km²";35;2;3,8;;2015
"Sant Adrià de Besòs";"Densitat hab./km²";35;3;9375,4;;2015
