level,area,party,seats,percentage
province,barcelona,ciu,28,32.94117647058823
province,barcelona,erc,14,16.470588235294116
province,barcelona,icv,10,11.76470588235294
province,barcelona,psc,16,18.823529411764707
province,barcelona,cs,6,7.0588235294117645
province,barcelona,cup,2,2.3529411764705883
province,barcelona,ppc,9,10.588235294117647
province,girona,ciu,11,64.70588235294117
province,girona,erc,4,23.52941176470588
province,girona,icv,0,0.0
province,girona,psc,2,11.76470588235294
province,lleida,ciu,9,60.0
province,lleida,erc,4,26.666666666666668
province,lleida,icv,1,6.666666666666667
province,lleida,psc,1,6.666666666666667
province,lleida,ppc,0,0.0
province,tarragona,ciu,9,50.0
province,tarragona,erc,4,22.22222222222222
province,tarragona,icv,2,11.11111111111111
province,tarragona,psc,2,11.11111111111111
province,tarragona,cup,0,0.0
province,tarragona,ppc,1,5.555555555555555
overall,catalonia,ciu,57,42.22222222222222
overall,catalonia,psc,21,15.555555555555555
overall,catalonia,erc,26,19.25925925925926
overall,catalonia,icv,13,9.62962962962963
overall,catalonia,ppc,10,7.4074074074074066
overall,catalonia,cs,6,4.444444444444445
overall,catalonia,cup,2,1.4814814814814816
